3-4-5 100k
Max ram 27.4gb -> 24t
LSH=>Start=>2023-11-30 19:12:50.412111
LSH=>Finish=>2023-11-30 19:21:38.690907

U472:U12738,U49521,U55948,U75812,U78980
U473:U3599,U37880,U48617,U62421,U97189
U474:U517,U58818,U71223,U98862,U99674
U475:U20485,U35769,U68570,U79874,U83342
U476:U17630,U32084,U53225,U76717,U92536
U477:U7205,U31711,U58761,U77191,U79684
U478:U43443,U51988,U53278,U85710,U99918
U479:U908,U30864,U70273,U78246,U98258
U480:U368,U436,U37754,U43577,U76675
U481:U17337,U29820,U65114,U80205,U82048
U482:U366,U45816,U53801,U65583,U88024
U483:U260,U488,U497,U47691,U55768
U484:U398,U489,U4850,U27923,U64270
U485:U62088,U65972,U75234,U84330,U96384
U486:U502,U32928,U54156,U79215,U90681
U487:U9777,U21283,U22946,U38592,U54349
U488:U260,U483,U497,U69856,U70000
U489:U398,U484,U4850,U27923,U64270
U490:U197,U325,U498,U1180,U63144
U491:U499,U501,U556,U659,U92676
U492:U23678,U29344,U45063,U54412,U70742
U493:U6920,U64434,U67135,U80779,U98203
U494:U6750,U40650,U67901,U76607,U89902
U495:U27818,U37946,U48067,U60708,U94562
U496:U4086,U10045,U22352,U32989,U73382
U497:U260,U483,U488,U69856,U70000
U498:U197,U325,U490,U1180,U75060
U499:U491,U501,U556,U659,U92676
U500:U14772,U23880,U47867,U72079,U77862
U501:U491,U499,U556,U659,U92676
U502:U100,U486,U79215,U85561,U90681
U503:U13767,U26543,U58062,U77210,U98701
U504:U5376,U17578,U71060,U90629,U90783
U505:U18772,U38028,U47986,U59929,U71668
U506:U1860,U17331,U28799,U31123,U60565
U507:U1339,U20317,U45117,U82690,U99059
U508:U11014,U34767,U52056,U59101,U90597
U509:U258,U17858,U37021,U77640,U94812
U510:U17535,U20356,U35830,U85248,U86560
U511:U4192,U15243,U27437,U86004,U99168
U512:U383,U9975,U15294,U15750,U78153
U513:U7082,U15163,U33206,U85875,U90777
U514:U11351,U71567,U85878,U86623,U89493
U515:U14548,U35985,U37356,U85696,U93858
U516:U3586,U28169,U46007,U60287,U94306
U517:U268,U474,U3418,U76924,U99674
U518:U61664,U63080,U69789,U75255,U84884
U519:U20046,U29719,U30568,U74031,U81792
U520:U39074,U46015,U63288,U73416,U82862
U521:U374,U25366,U72375,U77703,U95991
U522:U10019,U20700,U36589,U89963,U95259
U523:U27106,U39568,U53018,U67232,U80972
U524:U121,U259,U23880,U72079,U77862
U525:U15551,U56556,U69945,U84084,U95780
U526:U9445,U20377,U20623,U23174,U24233
U527:U3675,U22141,U30726,U44052,U78939
U528:U13403,U24680,U69477,U96097,U98595
U529:U2604,U8002,U15963,U20196,U31182
U530:U21759,U34212,U64638,U85237,U88126
U531:U14897,U31358,U43887,U49200,U88024
U532:U13332,U16710,U24933,U38525,U66007
U533:U4079,U40308,U58962,U64757,U87963
U534:U7538,U13735,U29014,U31489,U54934
U535:U646,U42649,U53141,U59190,U77705
U536:U11388,U12087,U28153,U51852,U81643
U537:U679,U1852,U22165,U42070,U50247
U538:U1072,U17967,U34269,U38225,U49499
U539:U321,U34566,U40911,U42486,U96335
U540:U12392,U68233,U80456,U82388,U89745
U541:U15926,U42393,U43695,U58752,U62471
U542:U1646,U40206,U52777,U65517,U98974
